"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"23","0.5","17","60783.41"
"22","0.5","23","79098.525"
"22","0.5","24","82106.195"
"23","0.5","18","64027.77"
"23","0.5","19","67186.8"
"23","0.5","20","70367.005"
"23","0.5","21","73352.38"
"24","0.5","0","0"
"23","0.5","22","76444.155"
"25","0.5","0","0"
"24","0.5","1","3837.77"
"23","0.5","23","79617.61"
"25","0.5","1","3790.07"
"23","0.5","24","82627.715"
"25","0.5","2","7387.295"
"24","0.5","2","7778.165"
"25","0.5","3","11195.18"
"24","0.5","3","11890.99"
"25","0.5","4","14985.27"
"24","0.5","4","15809.035"
"25","0.5","5","18859.81"
"24","0.5","5","19676.715"
"25","0.5","6","22581.375"
"24","0.5","6","23403.59"
"25","0.5","7","26137.205"
"24","0.5","7","27218.275"
"25","0.5","8","29372.09"
"24","0.5","8","30904.495"
"25","0.5","9","32795.88"
"18","0.5","14","50206.875"
"26","0.6","0","0"
"24","0.5","9","34472.04"
"25","0.5","10","36208.18"
"24","0.5","10","38096.555"
"25","0.5","11","39686.02"
"26","0.6","1","4692.948000000001"
"24","0.5","11","41633.33"
"18","0.5","15","53572.14"
"25","0.5","12","43020.495"
"26","0.6","2","9617.316000000004"
"24","0.5","12","45312.3"
"25","0.5","13","46398.49"
"18","0.5","16","56645.165"
"24","0.5","13","48943.515"
"26","0.6","3","14255.166000000003"
"25","0.5","14","49747.155"
"24","0.5","14","52574.615"
"18","0.5","17","59884.715"
"25","0.5","15","52875.47"
"26","0.6","4","18658.500000000004"
"24","0.5","15","55853.98"
"25","0.5","16","56157.84"
"26","0.6","5","23167.697999999993"
"18","0.5","18","63255.81"
"24","0.5","16","59388.88"
"25","0.5","17","59381.605"
"26","0.6","6","27359.471999999998"
"18","0.5","19","66472.655"
"24","0.5","17","62859.385"
"25","0.5","18","62292.265"
"26","0.6","7","31810.505999999998"
"25","0.5","19","65313.295"
"24","0.5","18","66088.54"
"18","0.5","20","69708.725"
"26","0.6","8","36019.79400000002"
"25","0.5","20","68482.625"
"24","0.5","19","69318.665"
"25","0.5","21","71587.54"
"24","0.5","20","72756.095"
"26","0.6","9","40425.678"
"25","0.5","22","74576.93"
"24","0.5","21","76244.5"
"26","0.6","10","44513.916"
"25","0.5","23","77746.025"
"24","0.5","22","79620.905"
"26","0.6","11","48710.80800000003"
"25","0.5","24","80739.94"
"24","0.5","23","83004.645"
"26","0.6","12","52685.05799999999"
"24","0.5","24","86387.845"
"26","0.6","13","56751.252"
"26","0.6","14","60550.81799999999"
"26","0.6","15","64372.10399999999"
"26","0.6","16","68330.616"
"27","0.6","0","0"
"26","0.6","17","72229.15799999998"
"27","0.6","1","4698.533999999999"
"26","0.6","18","76125.39000000001"
"28","0.6","0","0"
"27","0.6","2","9423.365999999998"
"26","0.6","19","80096.82"
"28","0.6","1","4826.238000000001"
"27","0.6","3","14106.077999999998"
"26","0.6","20","83889.69"
"27","0.6","4","18801.516000000007"
"28","0.6","2","9531.222000000003"
"26","0.6","21","87535.60800000007"
"27","0.6","5","23259.611999999994"
"28","0.6","3","14350.079999999998"
"27","0.6","6","27649.446"
"26","0.6","22","91193.33999999998"
"28","0.6","4","19005.222000000005"
"27","0.6","7","31767.251999999993"
"28","0.6","5","23584.613999999998"
"26","0.6","23","94946.50200000001"
"27","0.6","8","35960.72400000001"
"28","0.6","6","28117.308000000008"
"18","0.5","21","72834.615"
"26","0.6","24","98693.70599999999"
"27","0.6","9","40168.10999999999"
"28","0.6","7","32569.553999999993"
"18","0.5","22","76003.36"
"27","0.6","10","44291.304"
"28","0.6","8","36877.15799999998"
"27","0.6","11","48255.19200000003"
"18","0.5","23","79108.475"
"28","0.6","9","41015.598000000005"
"27","0.6","12","52208.958000000006"
"18","0.5","24","82255.94"
"27","0.6","13","56181.78599999999"
"28","0.6","10","45215.465999999986"
"27","0.6","14","60222.84599999999"
"28","0.6","11","49212.32999999999"
"27","0.6","15","64087.22999999998"
"28","0.6","12","53095.23000000001"
"29","0.6","0","0"
"27","0.6","16","68115.32999999999"
"28","0.6","13","56991.80999999999"
"27","0.6","17","72034.62600000002"
"29","0.6","1","4901.424000000002"
"28","0.6","14","60836.81999999998"
"27","0.6","18","75766.78199999999"
"29","0.6","2","9665.646"
"28","0.6","15","64454.50799999998"
"27","0.6","19","79547.51399999998"
"29","0.6","3","14116.458000000006"
"28","0.6","16","68218.06799999997"
"27","0.6","20","83451.67199999998"
"28","0.6","17","71877.25200000001"
"29","0.6","4","18597.522"
"27","0.6","21","87237.25200000001"
"28","0.6","18","75717.48"
"29","0.6","5","22903.97400000001"
"27","0.6","22","91017.25200000001"
"28","0.6","19","79591.50600000001"
"29","0.6","6","27047.838000000003"
"27","0.6","23","94771.452"
"28","0.6","20","83227.656"
"29","0.6","7","31575.821999999982"
"27","0.6","24","98360.50799999999"
"28","0.6","21","87002.424"
"29","0.6","8","35876.382000000005"
"28","0.6","22","90779.49600000001"
"29","0.6","9","40206.672"
"28","0.6","23","94463.93399999998"
"29","0.6","10","44273.304"
"28","0.6","24","98197.32000000004"
"29","0.6","11","48425.11799999999"
"29","0.6","12","52376.42999999998"
"29","0.6","13","56387.05800000002"
"31","0.6","0","0"
"29","0.6","14","60318.21"
"31","0.6","1","4551.288"
"29","0.6","15","64195.037999999986"
"29","0.6","16","67975.368"
"31","0.6","2","9098.034000000001"
"32","0.6","0","0"
"29","0.6","17","71689.75199999998"
"31","0.6","3","13653.755999999996"
"32","0.6","1","4505.97"
"29","0.6","18","75546.10800000002"
"31","0.6","4","18377.538"
"32","0.6","2","8947.722000000002"
"31","0.6","5","22788.726000000006"
"29","0.6","19","79214.952"
"32","0.6","3","13418.003999999999"
"31","0.6","6","27260.31000000001"
"29","0.6","20","82971.47999999997"
"32","0.6","4","17915.148"
"29","0.6","21","86601.10200000003"
"32","0.6","5","22414.613999999998"
"31","0.6","7","31395.564000000002"
"31","0.6","8","35617.350000000006"
"31","0.6","9","39623.046"
"31","0.6","10","43758.551999999996"
"32","0.6","6","26820.76800000002"
"30","0.6","0","0"
"32","0.6","7","31108.992"
"32","0.6","8","35228.54400000001"
"31","0.6","11","47791.06199999998"
"32","0.6","9","39252.102000000006"
"31","0.6","12","51761.79"
"32","0.6","10","43262.43"
"29","0.6","22","90151.242"
"31","0.6","13","55747.32000000001"
"32","0.6","11","47110.50600000001"
"29","0.6","23","93445.49399999999"
"31","0.6","14","59813.25600000001"
"32","0.6","12","50987.50799999999"
"29","0.6","24","97026.90600000002"
"31","0.6","15","63887.69400000001"
"32","0.6","13","54701.47199999998"
"31","0.6","16","67796.28"
"32","0.6","14","58265.11799999998"
"31","0.6","17","71800.69799999996"
"30","0.6","1","4830.269999999998"
"32","0.6","15","62002.36800000001"
"31","0.6","18","75584.55600000001"
"32","0.6","16","65668.506"
"30","0.6","2","9615.935999999998"
"31","0.6","19","79373.65200000003"
"32","0.6","17","69533.772"
"31","0.6","20","83238.576"
"32","0.6","18","73280.832"
"31","0.6","21","87097.93200000003"
"32","0.6","19","76951.422"
"33","0.6","0","0"
"31","0.6","22","90873.48000000003"
"32","0.6","20","80573.09400000001"
"31","0.6","23","94667.08799999997"
"32","0.6","21","84301.578"
"33","0.6","1","4656.642000000001"
"31","0.6","24","98503.692"
"32","0.6","22","87915.93600000003"
"32","0.6","23","91491.78599999998"
"32","0.6","24","95257.716"
"33","0.6","2","9376.757999999998"
"33","0.6","3","14224.038000000002"
"33","0.6","4","18949.992"
"30","0.6","3","14090.988000000001"
"33","0.6","5","23627.256000000005"
"34","0.6","0","0"
"30","0.6","4","18575.202"
"33","0.6","6","28310.556000000004"
"34","0.6","1","4818.4320000000025"
"33","0.6","7","32779.91999999999"
"30","0.6","5","22880.22599999999"
